_id,VGNKennung,VAGKennung,Haltepunkt,GlobalID,Haltestellenname,latitude,longitude,Betriebszweig,Dataprovider
1436,1673,BR-BER,BR-BER:2,de:09564:1673:0:2,Brunner Berg,"49,4362907","11,2405367",Bus,VAN
1437,1674,BRUN-M,BRUN-M:1,de:09564:1674:0:1,Brunn Mitte,"49,4359131","11,251626",Bus,VAN
1438,1674,BRUN-M,BRUN-M:2,de:09564:1674:0:2,Brunn Mitte,"49,436039","11,2517281",Bus,VAN
1439,1675,BRUN-O,BRUN-O:1,de:09564:1675:0:1,Brunn Ost,"49,4353638","11,2551889",Bus,VAN
1440,1675,BRUN-O,BRUN-O:2,de:09564:1675:0:2,Brunn Ost,"49,4354439","11,255518",Bus,VAN
1441,1676,BR-S,BR-S:1,de:09564:1676:0:1,Brunn Schleife,"49,43484071","11,2588085",Bus,VAN
1442,1677,BRUNNE,BRUNNE:1,de:09564:1677:0:1,Brunner Straße,"49,4230766","11,212492",Bus,VAN
1443,1677,BRUNNE,BRUNNE:2,de:09564:1677:0:2,Brunner Straße,"49,4227676","11,2117147",Bus,VAN
1444,1678,ATOWER,ATOWER:1,de:09564:1678:0:1,GNF - Am Tower,"49,389107","11,177366",Bus,VAN
1445,1679,BIRNTH,BIRNTH:1,de:09564:1679:0:1,Birnthon,"49,4137154","11,2641335",Bus,VAN
1446,1679,BIRNTH,BIRNTH:2,de:09564:1679:0:2,Birnthon,"49,4138031","11,2642593",Bus,VAN
1447,1680,BIRN-W,BIRN-W:1,de:09564:1680:0:1,Birnthon West,"49,4159088","11,2563124",Bus,VAN
1448,1680,BIRN-W,BIRN-W:2,de:09564:1680:0:2,Birnthon West,"49,4160423","11,2563839",Bus,VAN
1449,1686,T-Dach,T-Dach:1,de:09564:1686:0:1,GNF Th.-Dachser-Str.,"49,385468","11,166454",Bus,VAN
1450,1688,FLACHM,FLACHM:1,de:09564:1688:0:1,GNF Am Flachmoor,"49,3863","11,177383",Bus,VAN
1451,1689,SÜDALL,SÜDALL:1,de:09564:1689:0:1,GNF - Südallee,"49,387727","11,174858",Bus,VAN
1452,1689,SÜDALL,SÜDALL:2,de:09564:1689:0:2,GNF - Südallee,"49,386245","11,174446",Bus,VAN
1453,1701,HA,HA:1,de:09564:1701:11:1,Hasenbuck,"49,424368","11,089998",U-Bahn,VAN
1454,1701,HA,HA:2,de:09564:1701:11:2,Hasenbuck,"49,423879","11,090655",U-Bahn,VAN
1455,1701,HAB,HAB:6,de:09564:1701:17:6,Hasenbuck,"49,424308","11,08916",Bus,VAN
1456,1730,GIB,GIB:11,de:09564:1730:12:11,Gibitzenhof,"49,425365","11,065174",Tram,VAN
1457,1730,GIB,GIB:12,de:09564:1730:12:12,Gibitzenhof,"49,425728","11,064805",Tram,VAN
1458,1730,GIB,GIB:1,de:09564:1730:13:1,Gibitzenhof,"49,424933","11,06546",Bus,VAN
1459,1730,GIB,GIB:2,de:09564:1730:13:2,Gibitzenhof,"49,425252","11,065579",Bus,VAN
1460,1730,GIB,GIBA:3,de:09564:1730:13:3,Gibitzenhof,"49,4253387","11,0651665",Bus,VAN
1461,1730,GIB,GIB:4,de:09564:1730:13:4,Gibitzenhof,"49,4253387","11,0651665",Bus,VAN
1462,1731,WORZ,WORZ:11,de:09564:1731:12:11,Worzeldorfer Straße,"49,406977","11,094713",Tram,VAN
1463,1731,WORZ,WORZ:1,de:09564:1731:13:1,Worzeldorfer Straße,"49,406559","11,0942917",Bus,VAN
1464,1731,WORZ,WORZ:2,de:09564:1731:13:2,Worzeldorfer Straße,"49,4068527","11,0942144",Bus,VAN
1465,1731,WORZ,WORZ:3,de:09564:1731:13:3,Worzeldorfer Straße,"49,40639","11,09331",Bus,VAN
1466,1731,WORZ,WORZ:41,de:09564:1731:13:41,Worzeldorfer Straße,"49,406227","11,093913",Bus,VAN
1467,1740,WOFEUE,WOFEUE:1,de:09564:1740:0:1,Worzeldorf  F W H,"49,3721695","11,0989656",Bus,VAN
1468,1740,WOFEUE,WOFEUE:2,de:09564:1740:0:2,Worzeldorf  F W H,"49,3721962","11,0987377",Bus,VAN
1469,1740,WOFEUE,WOFEUE:3,de:09564:1740:0:3,Worzeldorf  F W H,"49,3721657","11,0989666",Bus,VAN
